iter	Passed	Remaining
0	143	143184
1	145	72454
2	147	48914
3	149	37146
4	151	30092
5	153	25374
6	155	22018
7	157	19494
8	159	17534
9	161	15958
10	163	14663
11	165	13593
12	167	12685
13	169	11910
14	171	11239
15	173	10645
16	175	10129
17	177	9665
18	178	9241
19	180	8864
20	182	8526
21	184	8221
22	187	7943
23	188	7678
24	190	7426
25	192	7194
26	193	6979
27	194	6768
28	196	6569
29	197	6386
30	198	6215
31	200	6052
32	201	5895
33	202	5746
34	203	5605
35	204	5471
36	205	5346
37	206	5228
38	207	5119
39	208	5011
40	210	4914
41	211	4818
42	212	4725
43	213	4638
44	214	4553
45	215	4474
46	216	4399
47	218	4325
48	219	4255
49	220	4188
50	221	4123
51	222	4060
52	223	3999
53	224	3941
54	226	3887
55	227	3834
56	228	3782
57	229	3731
58	230	3680
59	231	3633
60	233	3588
61	234	3544
62	235	3502
63	236	3461
64	237	3420
65	239	3383
66	240	3345
67	240	3301
68	242	3265
69	243	3230
70	244	3197
71	245	3166
72	246	3134
73	248	3103
74	249	3073
75	250	3044
76	251	3016
77	252	2987
78	253	2960
79	255	2933
80	256	2907
81	257	2881
82	258	2856
83	259	2832
84	260	2804
85	261	2780
86	262	2753
87	263	2732
88	264	2711
89	266	2691
90	267	2670
91	268	2651
92	269	2631
93	271	2612
94	272	2593
95	273	2573
96	274	2555
97	275	2537
98	276	2519
99	278	2502
100	279	2485
101	279	2464
102	281	2449
103	282	2434
104	283	2418
105	284	2402
106	285	2386
107	287	2372
108	288	2356
109	289	2342
110	290	2327
111	291	2313
112	292	2299
113	294	2285
114	295	2270
115	296	2256
116	297	2243
117	298	2230
118	299	2216
119	300	2203
120	301	2192
121	303	2180
122	303	2164
123	304	2152
124	305	2140
125	306	2128
126	308	2118
127	308	2104
128	310	2093
129	311	2083
130	312	2073
131	313	2062
132	314	2051
133	315	2041
134	317	2032
135	318	2022
136	319	2012
137	320	2002
138	321	1993
139	323	1984
140	324	1975
141	325	1966
142	326	1958
143	327	1949
144	329	1941
145	330	1933
146	331	1925
147	332	1916
148	334	1907
149	335	1899
150	336	1891
151	337	1882
152	338	1874
153	339	1867
154	341	1860
155	342	1852
156	343	1844
157	344	1836
158	345	1829
159	346	1821
160	348	1814
161	349	1806
162	350	1799
163	351	1793
164	353	1786
165	354	1779
166	355	1773
167	356	1766
168	357	1760
169	359	1753
170	360	1746
171	361	1740
172	362	1733
173	363	1727
174	364	1720
175	366	1714
176	367	1708
177	368	1701
178	369	1695
179	370	1689
180	371	1680
181	372	1674
182	373	1668
183	374	1662
184	376	1656
185	377	1650
186	378	1644
187	379	1639
188	380	1633
189	381	1628
190	383	1623
191	384	1618
192	385	1612
193	386	1607
194	387	1601
195	389	1596
196	390	1591
197	391	1585
198	392	1580
199	393	1574
200	394	1569
201	396	1564
202	397	1559
203	398	1555
204	399	1550
205	400	1545
206	402	1540
207	403	1535
208	404	1530
209	405	1526
210	406	1521
211	408	1516
212	409	1512
213	410	1507
214	411	1503
215	412	1498
216	414	1494
217	415	1489
218	416	1484
219	417	1480
220	418	1476
221	419	1471
222	421	1467
223	422	1462
224	423	1458
225	424	1454
226	425	1450
227	426	1445
228	427	1440
229	429	1436
230	430	1432
231	431	1428
232	432	1424
233	433	1420
234	435	1416
235	436	1412
236	437	1408
237	438	1404
238	439	1400
239	440	1396
240	442	1392
241	443	1388
242	444	1384
243	445	1380
244	446	1376
245	447	1372
246	449	1369
247	450	1365
248	451	1361
249	452	1357
250	453	1353
251	454	1349
252	455	1346
253	457	1342
254	458	1338
255	459	1334
256	460	1331
257	461	1327
258	462	1323
259	463	1320
260	465	1316
261	466	1313
262	467	1310
263	468	1306
264	469	1303
265	471	1300
266	472	1296
267	473	1293
268	474	1289
269	475	1286
270	476	1283
271	478	1279
272	479	1276
273	480	1272
274	481	1269
275	482	1266
276	483	1262
277	485	1259
278	486	1256
279	487	1253
280	488	1250
281	489	1247
282	491	1244
283	492	1241
284	493	1237
285	494	1234
286	496	1232
287	497	1229
288	498	1226
289	499	1223
290	500	1220
291	501	1217
292	503	1214
293	504	1211
294	505	1208
295	506	1205
296	507	1202
297	509	1199
298	510	1195
299	511	1193
300	512	1189
301	513	1186
302	514	1183
303	515	1181
304	517	1178
305	518	1175
306	519	1172
307	520	1169
308	521	1166
309	522	1163
310	524	1161
311	525	1158
312	526	1155
313	527	1152
314	528	1150
315	530	1147
316	531	1144
317	532	1141
318	533	1138
319	534	1135
320	535	1132
321	536	1129
322	537	1127
323	539	1124
324	540	1121
325	541	1119
326	542	1116
327	543	1114
328	544	1111
329	546	1108
330	547	1106
331	548	1103
332	549	1100
333	550	1098
334	551	1095
335	553	1093
336	554	1090
337	555	1088
338	556	1085
339	557	1082
340	558	1080
341	560	1077
342	561	1074
343	562	1072
344	563	1069
345	564	1067
346	565	1065
347	567	1062
348	568	1060
349	569	1057
350	570	1055
351	571	1052
352	573	1050
353	574	1048
354	575	1045
355	576	1043
356	578	1041
357	579	1038
358	580	1036
359	581	1034
360	582	1031
361	583	1029
362	585	1026
363	586	1024
364	587	1022
365	588	1019
366	589	1017
367	591	1015
368	592	1012
369	593	1010
370	594	1008
371	595	1005
372	596	1003
373	598	1001
374	599	998
375	600	996
376	601	994
377	602	991
378	603	989
379	604	987
380	606	984
381	607	982
382	608	980
383	609	978
384	611	976
385	612	973
386	613	971
387	614	969
388	615	967
389	616	964
390	617	962
391	619	960
392	620	958
393	621	955
394	622	953
395	623	951
396	624	949
397	626	946
398	627	944
399	628	942
400	629	940
401	630	938
402	631	935
403	632	933
404	634	931
405	635	929
406	636	927
407	637	925
408	639	923
409	640	921
410	641	919
411	642	916
412	643	914
413	644	912
414	646	910
415	647	908
416	648	906
417	649	904
418	651	902
419	652	900
420	653	898
421	654	896
422	655	894
423	656	892
424	658	890
425	659	888
426	660	886
427	661	884
428	662	882
429	664	880
430	665	878
431	666	876
432	667	874
433	669	872
434	670	870
435	671	868
436	672	866
437	673	864
438	675	862
439	676	860
440	677	858
441	678	857
442	680	855
443	681	853
444	682	851
445	683	849
446	684	847
447	686	845
448	687	843
449	688	841
450	689	839
451	690	837
452	692	836
453	693	834
454	695	832
455	696	830
456	697	829
457	698	827
458	700	825
459	701	823
460	702	821
461	703	819
462	704	817
463	705	815
464	707	813
465	708	811
466	709	809
467	710	807
468	711	806
469	713	804
470	714	802
471	715	800
472	716	798
473	717	796
474	719	794
475	720	792
476	721	791
477	722	789
478	723	787
479	724	785
480	726	783
481	727	781
482	728	779
483	729	777
484	730	775
485	731	773
486	732	772
487	734	770
488	735	768
489	737	767
490	738	765
491	739	763
492	740	761
493	741	759
494	743	758
495	744	756
496	745	754
497	746	752
498	747	750
499	749	749
500	751	748
501	752	746
502	753	744
503	754	742
504	755	740
505	757	739
506	758	737
507	759	735
508	760	733
509	761	732
510	763	730
511	764	728
512	765	726
513	766	724
514	767	722
515	768	721
516	770	719
517	771	717
518	772	715
519	773	714
520	774	712
521	775	710
522	777	708
523	778	707
524	779	705
525	780	703
526	781	701
527	783	700
528	784	698
529	785	696
530	786	695
531	788	693
532	789	691
533	790	689
534	791	687
535	792	686
536	793	684
537	794	682
538	796	680
539	797	679
540	798	677
541	799	675
542	800	673
543	802	672
544	803	670
545	804	668
546	805	667
547	806	665
548	807	663
549	809	662
550	810	660
551	811	658
552	812	656
553	813	655
554	814	653
555	816	651
556	817	650
557	818	648
558	819	646
559	820	644
560	821	643
561	823	641
562	824	639
563	825	638
564	826	636
565	827	634
566	828	632
567	829	631
568	831	629
569	832	627
570	833	626
571	834	624
572	835	622
573	836	621
574	838	619
575	839	617
576	840	616
577	841	614
578	842	612
579	843	611
580	845	609
581	846	607
582	847	606
583	848	604
584	849	602
585	850	601
586	852	599
587	853	597
588	854	596
589	855	594
590	856	593
591	858	591
592	859	589
593	860	588
594	861	586
595	862	584
596	863	583
597	864	581
598	866	579
599	867	578
600	868	576
601	869	574
602	870	573
603	871	571
604	873	570
605	874	568
606	875	566
607	876	565
608	877	563
609	878	561
610	880	560
611	881	558
612	882	556
613	883	555
614	884	553
615	885	552
616	887	550
617	888	549
618	889	547
619	890	545
620	891	544
621	892	542
622	893	540
623	894	539
624	896	537
625	897	536
626	898	534
627	899	532
628	900	531
629	901	529
630	903	528
631	904	526
632	905	524
633	906	523
634	907	521
635	908	520
636	909	518
637	911	516
638	912	515
639	913	513
640	914	512
641	915	510
642	916	509
643	918	507
644	919	505
645	920	504
646	921	502
647	922	501
648	924	499
649	925	498
650	926	496
651	927	495
652	928	493
653	929	491
654	931	490
655	932	488
656	933	487
657	934	485
658	935	484
659	936	482
660	937	481
661	939	479
662	940	478
663	941	476
664	942	474
665	943	473
666	945	471
667	946	470
668	947	468
669	949	467
670	950	465
671	951	464
672	952	462
673	954	461
674	955	459
675	956	458
676	957	456
677	958	455
678	960	453
679	961	452
680	962	450
681	963	449
682	964	447
683	965	446
684	967	444
685	968	443
686	969	441
687	970	440
688	971	438
689	973	437
690	974	435
691	975	434
692	976	432
693	978	431
694	979	429
695	980	428
696	981	426
697	982	425
698	984	423
699	985	422
700	986	420
701	987	419
702	989	417
703	990	416
704	991	414
705	992	413
706	993	411
707	994	410
708	995	408
709	996	407
710	998	405
711	999	404
712	1000	402
713	1001	401
714	1002	399
715	1003	398
716	1005	396
717	1006	395
718	1007	393
719	1008	392
720	1009	390
721	1010	389
722	1012	387
723	1013	386
724	1014	384
725	1015	383
726	1016	381
727	1018	380
728	1019	378
729	1020	377
730	1021	375
731	1022	374
732	1024	373
733	1025	371
734	1026	370
735	1028	368
736	1029	367
737	1030	365
738	1031	364
739	1032	362
740	1034	361
741	1035	359
742	1036	358
743	1037	356
744	1038	355
745	1039	354
746	1041	352
747	1042	351
748	1043	349
749	1044	348
750	1045	346
751	1046	345
752	1048	343
753	1049	342
754	1050	340
755	1051	339
756	1052	337
757	1053	336
758	1055	334
759	1056	333
760	1057	332
761	1058	330
762	1059	329
763	1060	327
764	1061	326
765	1063	324
766	1064	323
767	1065	321
768	1066	320
769	1068	319
770	1069	317
771	1070	316
772	1071	314
773	1072	313
774	1073	311
775	1075	310
776	1076	308
777	1077	307
778	1078	305
779	1079	304
780	1080	303
781	1082	301
782	1083	300
783	1084	298
784	1085	297
785	1086	295
786	1088	294
787	1089	293
788	1090	291
789	1091	290
790	1092	288
791	1094	287
792	1095	285
793	1096	284
794	1097	283
795	1098	281
796	1099	280
797	1101	278
798	1102	277
799	1103	275
800	1104	274
801	1105	272
802	1106	271
803	1108	270
804	1109	268
805	1110	267
806	1111	265
807	1112	264
808	1113	262
809	1115	261
810	1116	260
811	1117	258
812	1118	257
813	1119	255
814	1120	254
815	1122	253
816	1123	251
817	1124	250
818	1125	248
819	1126	247
820	1127	245
821	1128	244
822	1129	242
823	1130	241
824	1131	240
825	1132	238
826	1134	237
827	1135	235
828	1136	234
829	1137	233
830	1139	231
831	1140	230
832	1141	228
833	1142	227
834	1143	226
835	1144	224
836	1146	223
837	1147	221
838	1148	220
839	1149	218
840	1150	217
841	1151	216
842	1153	214
843	1154	213
844	1155	211
845	1156	210
846	1157	209
847	1158	207
848	1160	206
849	1161	204
850	1162	203
851	1163	202
852	1164	200
853	1166	199
854	1167	197
855	1168	196
856	1169	195
857	1170	193
858	1172	192
859	1173	190
860	1174	189
861	1175	188
862	1176	186
863	1177	185
864	1179	184
865	1180	182
866	1181	181
867	1182	179
868	1183	178
869	1185	177
870	1186	175
871	1187	174
872	1188	172
873	1189	171
874	1191	170
875	1192	168
876	1193	167
877	1194	166
878	1196	164
879	1197	163
880	1198	161
881	1199	160
882	1200	159
883	1201	157
884	1202	156
885	1203	154
886	1205	153
887	1206	152
888	1207	150
889	1209	149
890	1210	148
891	1211	146
892	1212	145
893	1213	143
894	1215	142
895	1216	141
896	1217	139
897	1218	138
898	1219	137
899	1220	135
900	1222	134
901	1223	132
902	1224	131
903	1225	130
904	1226	128
905	1227	127
906	1229	126
907	1230	124
908	1231	123
909	1232	121
910	1234	120
911	1235	119
912	1236	117
913	1237	116
914	1238	115
915	1239	113
916	1241	112
917	1242	110
918	1243	109
919	1244	108
920	1245	106
921	1247	105
922	1248	104
923	1249	102
924	1250	101
925	1251	100
926	1252	98
927	1254	97
928	1255	95
929	1256	94
930	1257	93
931	1258	91
932	1259	90
933	1260	89
934	1261	87
935	1262	86
936	1264	85
937	1265	83
938	1266	82
939	1267	80
940	1268	79
941	1269	78
942	1270	76
943	1272	75
944	1273	74
945	1274	72
946	1275	71
947	1276	70
948	1277	68
949	1279	67
950	1280	65
951	1281	64
952	1282	63
953	1283	61
954	1285	60
955	1286	59
956	1287	57
957	1288	56
958	1289	55
959	1291	53
960	1292	52
961	1293	51
962	1294	49
963	1295	48
964	1296	47
965	1297	45
966	1298	44
967	1300	42
968	1301	41
969	1302	40
970	1303	38
971	1304	37
972	1305	36
973	1307	34
974	1308	33
975	1309	32
976	1310	30
977	1311	29
978	1313	28
979	1314	26
980	1315	25
981	1316	24
982	1317	22
983	1318	21
984	1320	20
985	1321	18
986	1322	17
987	1323	16
988	1324	14
989	1325	13
990	1327	12
991	1328	10
992	1329	9
993	1330	8
994	1331	6
995	1332	5
996	1334	4
997	1335	2
998	1336	1
999	1337	0
